,name,studio,domestic_gross_x,foreign_gross,year,movie_id,original_title_x,start_year,runtime_minutes,genres,Unnamed: 0,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross_y,worldwide_gross
84,The Town,WB,92200000.0,61800000,2010,tt0840361,The Town,2010,125.0,"Crime,Drama,Thriller",52,"[80, 18, 53]",23168,en,The Town,13.476,2010-09-17,7.1,2386,92,"Sep 17, 2010","$37,000,000","$92,186,262","$152,566,881"
85,The Town,WB,92200000.0,61800000,2010,tt6259458,The Town,2012,101.0,Horror,52,"[80, 18, 53]",23168,en,The Town,13.476,2010-09-17,7.1,2386,92,"Sep 17, 2010","$37,000,000","$92,186,262","$152,566,881"
86,Date Night,Fox,98700000.0,53600000,2010,tt1279935,Date Night,2010,88.0,"Comedy,Crime,Romance",71,[35],35056,en,Date Night,12.498,2010-04-08,6.0,1743,99,"Apr 9, 2010","$55,000,000","$98,711,404","$152,269,033"
87,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation",106,"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754,2010-09-24,6.6,1223,90,"Sep 24, 2010","$100,000,000","$55,675,313","$139,716,717"
88,The Wolfman,Uni.,62000000.0,77800000,2010,tt0780653,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",45,[27],7978,en,The Wolfman,14.03,2010-02-12,5.7,1009,91,"Feb 12, 2010","$150,000,000","$62,189,884","$142,634,358"
89,The Bounty Hunter,Sony,67099999.0,69300000,2010,tt1038919,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,5.7,1627,73,"Mar 19, 2010","$45,000,000","$67,061,228","$135,808,837"
90,The Bounty Hunter,Sony,67099999.0,69300000,2010,tt1472211,The Bounty Hunter,2010,,,140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,5.7,1627,73,"Mar 19, 2010","$45,000,000","$67,061,228","$135,808,837"
91,The Fighter,Par.,93600000.0,35600000,2010,tt0964517,The Fighter,2010,116.0,"Biography,Drama,Sport",116,[18],45317,en,The Fighter,10.395,2010-12-17,7.3,2325,68,"Dec 10, 2010","$11,000,000","$93,617,009","$129,262,388"
92,Predators,Fox,52000000.0,75200000,2010,tt1424381,Predators,2010,107.0,"Action,Adventure,Sci-Fi",28,"[28, 878, 12, 53]",34851,en,Predators,16.216,2010-07-03,6.1,1979,35,"Jul 9, 2010","$40,000,000","$52,000,688","$127,234,389"
93,Dear John,SGem,80000000.0,35000000,2010,tt0989757,Dear John,2010,108.0,"Drama,Romance,War",82,"[18, 10749, 10752]",22971,en,Dear John,12.048,2010-02-04,6.8,2676,77,"Feb 5, 2010","$25,000,000","$80,014,842","$142,033,509"
94,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,"Action,Comedy,Family",115,"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,4.9,273,17,"Jul 30, 2010","$85,000,000","$43,585,753","$113,026,383"
95,Tooth Fairy,Fox,60000000.0,52400000,2010,tt0808510,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",68,"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,5.3,1058,23,"Jan 22, 2010","$48,000,000","$60,022,256","$112,610,386"
96,Tooth Fairy,Fox,60000000.0,52400000,2010,tt7906260,Toof,2019,86.0,Horror,68,"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,5.3,1058,23,"Jan 22, 2010","$48,000,000","$60,022,256","$112,610,386"
