,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
588,The Forest,72.0,Documentary,7.1,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
588,The Forest,72.0,History,7.1,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
589,The Forest,109.0,Drama,6.5,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
589,The Forest,109.0,Fantasy,6.5,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
589,The Forest,109.0,Horror,6.5,en,Forest of the Living Dead,1.125,2.5,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
590,The Forest,109.0,Drama,6.5,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
590,The Forest,109.0,Fantasy,6.5,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
590,The Forest,109.0,Horror,6.5,en,The Forest,10.069,5.0,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
591,The Forest,109.0,Drama,6.5,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
591,The Forest,109.0,Fantasy,6.5,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
591,The Forest,109.0,Horror,6.5,th,The Forest,1.255,5.9,2016-01-08,10000000.0,40749230.0,Focus,26600000.0,11000000.0
592,Central Intelligence,107.0,Action,6.3,en,Central Intelligence,14.478,6.3,2016-06-17,50000000.0,217194805.0,WB (NL),127400000.0,89500000.0
592,Central Intelligence,107.0,Comedy,6.3,en,Central Intelligence,14.478,6.3,2016-06-17,50000000.0,217194805.0,WB (NL),127400000.0,89500000.0
592,Central Intelligence,107.0,Crime,6.3,en,Central Intelligence,14.478,6.3,2016-06-17,50000000.0,217194805.0,WB (NL),127400000.0,89500000.0
593,The Paperboy,107.0,Crime,5.8,en,The Paperboy,8.142999999999999,5.5,2012-10-05,12500000.0,4027663.0,MNE,693000.0,661000.0
593,The Paperboy,107.0,Drama,5.8,en,The Paperboy,8.142999999999999,5.5,2012-10-05,12500000.0,4027663.0,MNE,693000.0,661000.0
